,case_fr,date,timestamp,location,summary-fr,link-fr,fatalities,injured,total_victims,weapons_obtained_legally,gender,latitude,longitude,type,year,date-fr,weapons_legally_simple,first-source,first-source-short,ts
0,Fusillade de Dayton,8/4/19,2019-08-04,"Dayton, OH","La fusillade s’est produite un peu après une heure du matin. Connor Betts, 24 ans, portait un équipement tactique et avait un magasin à haute capacité, capable de contenir 100 balles. Il a été abattu par la police après avoir tué neuf personnes.",https://www.letemps.ch/monde/deuxieme-fusillade-24-heures-aux-etatsunis-neuf-morts-dayton,9,27,36,-,M,39.757312,-84.184947,Mass,2019,4 août 2019 ,-1,https://www.nytimes.com/2019/08/04/us/dayton-ohio-shooting.html,www.nytimes.com,1564869600000.0
1,Fusillade au Walmart d’El Paso,8/3/19,2019-08-03,"El Paso, TX","Patrick Crusius, 21 ans, a tué 20 personnes dans un centre commercial, le samedi 3 août. Il semble avoir été motivé par sa peur de l’«invasion étrangère». Peu avant l’attaque, le tireur a publié un manifeste promouvant un suprémacisme blanc violent et la haine des immigrants.",https://www.letemps.ch/monde/el-paso-un-homme-tue-20-personnes-denoncant-une-invasion-dhispaniques,20,26,46,Oui,M,31.771068,-106.37565500000001,Mass,2019,3 août 2019 ,1,https://www.washingtonpost.com/nation/2019/08/04/investigators-search-answers-after-gunman-kills-el-paso/,www.washingtonpost.com,1564783200000.0
2,Festival de l’ail de Gilroy,7/28/19,2019-07-28,"Gilroy, CA","Santino William LeGan, 19 ans, a tiré indistinctement dans la foule, près de la scène de concert d’un festival. Il a utilisé un fusil d’assaut de type AK-47, acheté légalement au Nevada trois semaines plus tôt.",https://www.letemps.ch/monde/une-fusillade-frappe-un-festival-californie,3,12,15,Oui,M,36.997191,-121.584819,Mass,2019,28 juillet 2019 ,1,https://www.cbsnews.com/live-news/garlic-festival-mass-shooting-gilroy-california-victims-suspect-santino-william-legan-live-updates/,www.cbsnews.com,1564264800000.0
3,Virginia Beach,5/31/19,2019-05-31,"Virginia Beach, VA","DeWayne Craddock, un employé municipal de 40 ans, portait des armes de poing et des magasins de haute capacité. Après avoir perpétré une tuerie de masse dans un bâtiment municipal, il est décédé lors d’un long affrontement avec la police.",https://www.letemps.ch/opinions/treizieme-personne-fusillade,12,4,16,Oui,M,36.75442,-76.060378,Mass,2019,31 mai 2019 ,1,https://www.washingtonpost.com/local/public-safety/virginia-beach-officials-expect-to-release-additional-details-of-mass-shooting/2019/06/02/a001b856-852f-11e9-a870-b9c411dc4312_story.html,www.washingtonpost.com,1559253600000.0
4,Bâtiment industriel de Henry Pratt,2/15/19,2019-02-15,"Aurora, IL","Gary Martin, 45 ans, a ouvert le feu sur ses collègues après avoir été licencié, tuant cinq d’entre eux. Il était parvenu à obtenir une arme malgré la révocation de son permis de possession d’armes en Illinois.",,5,6,11,Non,M,41.753725,-88.331057,Mass,2019,15 février 2019 ,0,https://www.washingtonpost.com/nation/2019/02/16/man-kills-five-warehouse-shooting-spree-shortly-after-being-fired-illinois-police-say/?utm_term=.9863ec4ffc41,www.washingtonpost.com,1550185200000.0
5,Bar d’un hôtel Ramada,1/24/19,2019-01-24,"State College, PA","Jordan Witmer, 21 ans, a tué trois personnes au bar d’un hôtel Ramada près de l’université de Pennsylvanie.",,3,1,4,Oui,M,40.785142,-77.839411,Spree,2019,24 janvier 2019 ,1,http://www.wistv.com/2019/01/26/details-emerge-about-shooting-rampage-near-penn-state/,www.wistv.com,1548284400000.0
6,Banque SunTrust,1/23/19,2019-01-23,"Sebring, FL","Zephen Xaver, 21 ans, a tué cinq femmes dans une banque avant d’appeler la police et d’avouer son crime.",,5,0,5,Oui,M,27.471042999999998,-81.45846999999999,Mass,2019,23 janvier 2019 ,1,https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school,wsbt.com,1548198000000.0
7,Parking de l'hôpital Mercy,11/19/18,2018-11-19,"Chicago, IL","Juan Lopez, 32 ans, a ouvert le feu sur son ancienne fiancée dans l’hôpital où elle travaillait. Il a ensuite tué trois autres personnes avant d’être abattu par un membre du SWAT.",,3,0,3,-,M,41.847667,-87.62200899999999,Mass,2018,19 novembre 2018 ,-1,https://www.cnn.com/2018/11/19/us/mercy-hospital-chicago-shooting/index.html,www.cnn.com,1542582000000.0
8,Bar de Thousand Oaks,11/7/18,2018-11-07,"Thousand Oaks, CA","Ian David Long, 28 ans, a ouvert le feu dans un bar de Thousand Oaks, peu avant minuit. Il s’est apparemment suicidé sur la scène du crime après avoir tué douze personnes.",https://www.letemps.ch/monde/lauteur-fusillade-californie-etait-un-ancien-soldat,12,22,34,Oui,M,34.176946,-118.874793,Mass,2018,7 novembre 2018 ,1,http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html,www.latimes.com,1541545200000.0
9,Synagogue Tree of Life,10/27/18,2018-10-27,"Pittsburgh, PA","Robert Bowers, 46 ans, a été arrêté après avoir tiré durant vingt minutes dans la synagogue Tree of Life, à Pittsburgh. Il était armé d’un fusil d’assaut et de plusieurs armes de poing. Bowers publiait des messages profondément antisémites sur les réseaux sociaux.",https://www.letemps.ch/monde/etatsunis-endeuilles-pire-attaque-antisemite-histoire,11,6,17,Oui,M,40.443898,-79.921398,Mass,2018,27 octobre 2018 ,1,https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html,www.nytimes.com,1540591200000.0
